,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Ticker,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Date,,,,,,,,,,,,,,,,,,,,
2024-08-27,227.52923583984375,412.18682861328125,164.27349853515625,173.1199951171875,128.2801971435547,518.187255859375,209.2100067138672,71.58999633789062,567.8200073242188,49.98478317260742,150.5,20.06999969482422,695.719970703125,71.9000015258789,78.9800033569336,194.8618621826172,172.13531494140625,887.8193359375,160.4310760498047,54.763999938964844
2024-08-28,225.99261474609375,408.9597473144531,162.44802856445312,170.8000030517578,125.59060668945312,515.871337890625,205.75,70.43000030517578,560.5399780273438,49.137081146240234,146.36000061035156,19.610000610351562,683.8400268554688,70.69000244140625,78.36000061035156,191.99522399902344,170.07679748535156,886.0733642578125,157.24014282226562,44.3489990234375
2024-08-29,229.28536987304688,411.4696960449219,161.3806610107422,172.1199951171875,117.57183837890625,517.3087768554688,206.27999877929688,73.16000366210938,569.6300048828125,49.66935729980469,145.49000549316406,20.1299991607666,692.47998046875,69.94000244140625,77.58999633789062,192.0847930908203,167.7411346435547,885.6543579101562,155.99757385253906,44.88199996948242
2024-08-30,228.49710083007812,415.4736328125,162.97671508789062,178.5,119.35157012939453,520.3934326171875,214.11000061035156,72.43000030517578,574.4099731445312,49.81721496582031,148.55999755859375,22.040000915527344,701.3499755859375,69.08000183105469,77.4000015258789,196.34494018554688,173.49119567871094,901.7769165039062,161.8525848388672,43.77000045776367
2024-09-03,222.28079223632812,407.80438232421875,156.97157287597656,176.25,107.98332214355469,510.86016845703125,210.60000610351562,72.0,571.0399780273438,49.34408187866211,136.94000244140625,20.100000381469727,675.3200073242188,68.83000183105469,72.94000244140625,182.5193634033203,161.55563354492188,843.432373046875,151.88217163085938,44.178001403808594
2024-09-04,220.36500549316406,407.26654052734375,156.06381225585938,173.3300018310547,106.19359588623047,511.8384094238281,219.41000366210938,72.61000061035156,575.25,48.989227294921875,140.8699951171875,19.43000030517578,679.6799926757812,68.19000244140625,72.48999786376953,181.5339813232422,163.6240692138672,809.600830078125,153.2042694091797,42.34700012207031
2024-09-05,221.8916473388672,406.75860595703125,156.85186767578125,177.88999938964844,107.19344329833984,515.951171875,230.1699981689453,72.02999877929688,567.9299926757812,48.42738342285156,139.44000244140625,19.399999618530273,683.6199951171875,67.2300033569336,73.44000244140625,179.40391540527344,162.84812927246094,793.7576293945312,151.9119873046875,41.459999084472656
2024-09-06,220.33506774902344,400.0953369140625,150.54745483398438,171.38999938964844,102.81411743164062,499.3903503417969,210.72999572753906,68.88999938964844,563.4099731445312,47.80638885498047,134.35000610351562,18.889999389648438,665.77001953125,67.18000030517578,72.88999938964844,173.93936157226562,157.36680603027344,751.0467529296875,136.1859893798828,38.645999908447266
2024-09-09,220.4248809814453,404.0992431640625,148.53976440429688,175.39999389648438,106.45355224609375,503.9024353027344,216.27000427246094,69.3499984741211,569.8800048828125,48.00353240966797,138.14999389648438,19.06999969482422,675.4199829101562,66.58999633789062,76.61000061035156,176.72637939453125,159.93338012695312,748.0836791992188,139.98330688476562,40.98699951171875
2024-09-10,219.62661743164062,412.5453796386719,148.4898223876953,179.5500030517578,108.08330535888672,503.9024353027344,226.1699981689453,68.8499984741211,574.47998046875,48.092247009277344,142.83999633789062,18.979999542236328,673.6199951171875,66.69999694824219,79.27999877929688,177.22406005859375,160.83863830566406,749.6400146484375,147.3293914794922,41.27199935913086
2024-09-11,222.17103576660156,421.3500671386719,150.98695373535156,184.52000427246094,116.8919448852539,510.9300231933594,228.1300048828125,69.3499984741211,580.3800048828125,48.40766525268555,149.86000061035156,19.639999389648438,681.469970703125,67.30000305175781,79.51000213623047,185.07745361328125,165.69325256347656,798.287109375,157.32962036132812,44.540000915527344
2024-09-12,222.28079223632812,425.29425048828125,154.51292419433594,187.0,119.13179016113281,524.6758422851562,229.80999755859375,70.36000061035156,586.5499877929688,48.900516510009766,150.77000427246094,19.360000610351562,686.7999877929688,66.55000305175781,69.68000030517578,182.36012268066406,164.1214599609375,798.3170166015625,163.5822296142578,44.2130012512207
